硅指标目录 Sheet Name 修复报告 硅产业链数据_workflow_ai.xlsx
备份: 硅产业链数据_workflow_ai_backup_fix_silicon_catalog_sheets.xlsx
指标行填表: 2354 | 多候选需人工: 2 | 未找到: 0 | 引用行跳过: 0
自检(全部指标行 sheet+col 与数据名称行一致): FAIL x2
错位/变更行数(对比修复前分组): 1182

=== 错位行清单 (row | 原分组 -> 真实sheet | 指标) ===
r1502 | <组:光伏玻璃平衡-月> -> 多晶硅期货价格+基差+月差-日 | 多晶硅03-05合约月差
r1503 | <组:光伏玻璃平衡-月> -> 多晶硅期货价格+基差+月差-日 | 多晶硅04-05合约月差
r1504 | <组:光伏玻璃平衡-月> -> 多晶硅期货价格+基差+月差-日 | 多晶硅05-06合约月差
r1505 | <组:光伏玻璃平衡-月> -> 多晶硅期货价格+基差+月差-日 | 多晶硅05-07合约月差
r1506 | <组:光伏玻璃平衡-月> -> 多晶硅期货价格+基差+月差-日 | 多晶硅06-07合约月差
r1507 | <组:光伏玻璃平衡-月> -> 多晶硅期货价格+基差+月差-日 | 多晶硅07-08合约月差
r1508 | <组:光伏玻璃平衡-月> -> 多晶硅期货价格+基差+月差-日 | 多晶硅07-09合约月差
r1509 | <组:光伏玻璃平衡-月> -> 多晶硅期货价格+基差+月差-日 | 多晶硅08-09合约月差
r1510 | <组:光伏玻璃平衡-月> -> 多晶硅期货价格+基差+月差-日 | 多晶硅09-10合约月差
r1511 | <组:光伏玻璃平衡-月> -> 多晶硅期货价格+基差+月差-日 | 多晶硅09-11合约月差
r1512 | <组:光伏玻璃平衡-月> -> 多晶硅期货价格+基差+月差-日 | 多晶硅10-11合约月差
r1513 | <组:光伏玻璃平衡-月> -> 多晶硅期货价格+基差+月差-日 | 多晶硅11-01合约月差
r1514 | <组:光伏玻璃平衡-月> -> 多晶硅期货价格+基差+月差-日 | 多晶硅11-12合约月差
r1515 | <组:光伏玻璃平衡-月> -> 多晶硅期货价格+基差+月差-日 | 多晶硅12-01合约月差
r1516 | <组:光伏玻璃平衡-月> -> 工业硅期货价格+基差+月差-日 | 工业硅01-02月差
r1517 | <组:光伏玻璃平衡-月> -> 工业硅期货价格+基差+月差-日 | 工业硅01-03月差
r1518 | <组:光伏玻璃平衡-月> -> 工业硅期货价格+基差+月差-日 | 工业硅02-03月差
r1519 | <组:光伏玻璃平衡-月> -> 工业硅期货价格+基差+月差-日 | 工业硅03-04月差
r1520 | <组:光伏玻璃平衡-月> -> 工业硅期货价格+基差+月差-日 | 工业硅03-05月差
r1521 | <组:光伏玻璃平衡-月> -> 工业硅期货价格+基差+月差-日 | 工业硅04-05月差
r1522 | <组:光伏玻璃平衡-月> -> 工业硅期货价格+基差+月差-日 | 工业硅05-06月差
r1523 | <组:光伏玻璃平衡-月> -> 工业硅期货价格+基差+月差-日 | 工业硅05-07月差
